type,size,locality,price
1+kt,32,Brno - část obce Veveří,7839
1+1,47,Brno - Veveří,12000
3+kt,67,Brno - Židenice,18000
flatshare,30,Brno - Řečkovice,6000
2+1,65,Brno - Trnitá,9990
1+kt,20,Brno - Nový Lískovec,8500
2+1,56,Brno - Horní Heršpice,13000
1+1,36,Brno - Kohoutovice,9900
1+1,32,Brno - Kohoutovice,11000
2+1,65,Brno - Brno-město,15160
3+kt,66,Brno - Žabovřesky,15000
3+kt,83,Brno,23000
2+1,53,Brno - Staré Brno,15000
2+1,64,Brno - Bystrc,12900
1+1,38,Brno,9000
1+kt,33,Brno - Zábrdovice,10500
1+kt,33,Brno - Líšeň,11000
2+1,75,Brno - Brno-střed,16900
2+1,55,Brno - Obřany,13000
1+kt,28,Brno - Zábrdovice,9990
3+1,83,Brno,13000
2+1,70,Brno - Královo Pole,12500
3+kt,100,Brno - Štýřice,18000
1+1,45,Brno - Veveří,12500
unusual,200,Brno - Černá Pole,29900
1+kt,46,Brno,11400
1+kt,54,Brno - Brno-město,20000
3+kt,79,Brno - Horní Heršpice,18900
4+1,117,Brno - Veveří,25000
3+kt,94,Brno - Staré Brno,25000
2+kt,40,Brno,12900
1+kt,35,Brno,9000
4+1,130,Brno - Veveří,34000
3+kt,85,Brno - Pisárky,23000
3+kt,109,Brno - Brno-město,20900
2+1,50,Brno,13500
3+1,68,Brno,4000
3+kt,113,Brno - Trnitá,21900
1+kt,41,Brno,13000
1+kt,30,Brno - Židenice,10000
1+kt,28,Brno - Zábrdovice,9990
2+kt,57,Brno,14700
2+kt,70,Brno - Židenice,15400
3+1,75,Brno - Brno-město,24000
1+1,36,Brno - Černá Pole,12000
3+1,66,Brno - Staré Brno,20000
1+kt,46,Brno - Zábrdovice,12100
1+kt,53,Brno - Zábrdovice,12500
3+1,130,Brno - Brno-město,29900
2+kt,49,Brno - Medlánky,13900
3+1,115,Brno - Žabovřesky,16500
3+kt,70,Brno - Řečkovice,16000
5+1,102,Brno - Židenice,25000
1+kt,27,Brno - Trnitá,11000
1+1,30,Brno - Staré Brno,11500
2+1,58,Brno - Bystrc,12000
2+1,56,Brno - Žabovřesky,13000
3+kt,120,Brno - Veveří,22000
1+1,40,Brno - Trnitá,10000
2+kt,55,Brno - Ponava,15000
2+1,60,Brno - Obřany,12990
1+kt,28,Brno - Zábrdovice,9990
3+1,69,Brno - Řečkovice,15000
1+1,41,Brno - Komín,10490
2+kt,55,Brno - Bohunice,16500
2+1,64,Brno - Trnitá,10500
3+1,70,Brno - Lesná,12900
2+kt,40,Brno - Žabovřesky,12900
1+1,42,Brno - Bystrc,10500
3+kt,90,Brno - Černovice,16000
2+1,54,Brno - Staré Brno,14500
2+1,56,Brno - Židenice,10000
2+1,46,Brno - Zábrdovice,10000
1+kt,44,Brno - Zábrdovice,9900
2+kt,40,Brno - Žabovřesky,12900
2+kt,40,Brno - Žabovřesky,12900
2+kt,40,Brno - Žabovřesky,12900
1+kt,18,Brno - Trnitá,7500
3+kt,74,Brno - Černovice,21000
1+kt,38,Brno,11500
2+kt,60,Brno - Královo Pole,21000
2+1,52,Brno - Židenice,12000
1+kt,28,Brno - Zábrdovice,9990
1+1,45,Brno - Zábrdovice,10300
2+kt,68,Brno - Zábrdovice,14000
2+1,61,Brno - Černovice,14500
4+kt,118,Brno - Husovice,20900
2+kt,44,Brno - Židenice,13500
1+1,52,Brno - Veveří,12000
1+1,32,Brno - Ponava,10000
3+kt,115,Brno,18500
1+kt,23,Brno - Lesná,8800
4+1,144,Brno - Zábrdovice,25000
2+kt,48,Brno - Obřany,11900
1+kt,36,Brno - Staré Brno,12900
3+1,77,Brno - Bohunice,16900
3+kt,77,Brno - Nový Lískovec,16900
1+kt,34,Brno,11000
1+kt,42,Brno - Staré Brno,12000
1+kt,23,Brno - Štýřice,6000
