type,size,locality,price
1,35,0,13000
1,36,7,9900
1,33,18,12000
5,82,14,18500
4,45,3,13000
3,50,7,20000
4,59,7,17000
1,36,3,10500
5,75,12,15900
1,32,13,10900
2,46,14,10000
6,110,7,19000
4,54,10,14000
3,40,37,13500
3,78,11,16900
6,64,0,6000
4,54,0,13800
4,63,27,15000
3,47,18,15000
5,95,41,19500
4,75,41,17200
2,44,14,11000
1,31,18,11000
3,40,14,10000
4,70,13,12900
3,58,8,14900
5,150,14,20000
3,117,0,18000
3,41,14,12000
6,80,16,20000
2,31,18,9500
5,106,18,20000
2,30,40,9500
4,48,40,13000
4,41,18,12500
3,54,41,20000
4,55,8,16000
5,65,17,17000
4,50,20,14000
2,38,18,12000
3,91,23,17900
1,42,14,12500
3,67,0,22000
4,41,18,12500
4,41,18,12500
6,120,41,30000
8,117,41,50000
3,64,17,12500
8,130,30,34000
4,78,0,24000
6,70,24,16500
6,74,28,19000
3,63,16,12000
8,165,0,28000
3,50,24,14000
6,78,15,12401
1,35,14,8300
7,177,26,40000
1,39,14,9500
3,42,18,12000
5,84,9,22000
11,25,23,5500
5,70,2,16000
3,55,7,18000
4,85,13,15380
2,35,15,9000
3,51,9,14000
3,58,6,16000
3,54,41,25000
3,54,41,20000
3,63,4,19990
8,160,0,28000
6,72,14,15000
6,74,28,15500
6,76,6,15000
7,166,9,35000
1,33,24,10500
5,73,17,14000
3,55,3,16500
3,54,3,16500
4,55,15,12500
5,51,23,14990
1,30,23,12490
1,43,14,10900
2,33,10,11000
3,48,3,15000
1,33,12,11000
3,52,0,11500
3,52,26,12400
8,160,9,28000
3,67,25,14000
3,55,0,17500
12,12,14,3300
7,250,0,25000
4,65,7,15000
2,35,18,9500
6,80,0,15000
3,54,11,14000
5,81,0,22000
1,23,11,7000
3,90,7,35000
1,31,18,9900
8,110,0,28000
3,54,7,26000
5,108,28,26900
5,100,30,24900
1,44,41,15900
2,32,0,8500
2,33,0,9000
3,40,35,12500
5,116,30,25000
4,80,41,16500
6,100,3,17300
4,65,3,9500
3,50,9,13900
8,130,30,34000
5,115,12,20000
5,74,0,18500
5,88,0,19000
1,35,0,11800
3,48,3,15000
1,43,0,10000
4,85,0,15500
6,135,30,25000
3,54,0,16200
3,51,0,13000
3,38,11,14900
3,69,0,12000
4,58,1,14900
12,55,3,12600
6,134,41,26998
5,99,0,19900
9.0,148.0,0.0,
4,52,0,15800
2,33,0,11000
3,76,11,14000
12,332,0,100000
11,20,23,8000
10,112,0,29000
5,80,9,27900
5,112,16,20000
4,45,7,15900
5,92,30,20000
1,29,18,11750
6,135,40,25000
1,24,18,11000
6,70,0,30000
3,75,11,14000
11,25,12,8000
1,42,0,20580
